# x	y	u	g	r	i	z
0	0	0.0392	0.0924	0.2498	0.3193	0.6230
1	0	-0.0179	0.1038	0.3589	0.5186	0.7051
2	0	0.0962	0.1000	0.3276	0.3789	0.1287
3	0	-0.0083	0.0850	0.3071	0.4717	0.6230
4	0	0.0582	0.1188	0.4785	0.5312	0.1287
5	0	0.0202	0.1377	0.5615	0.5508	0.5400
6	0	0.0962	0.1150	0.4839	0.5049	0.5400
7	0	0.0962	0.1226	0.4058	0.5977	0.5811
8	0	0.0391	0.1188	0.4316	0.5781	0.6641
9	0	-0.0178	0.1489	0.4160	0.6104	0.8281
10	0	-0.0178	0.1377	0.4268	0.5508	0.6230
11	0	-0.0178	0.1150	0.3799	0.5771	0.6641
12	0	-0.0178	0.1112	0.4683	0.7500	0.7871
13	0	0.0676	0.1938	0.5303	0.6973	0.8691
14	0	-0.0083	0.1565	0.6191	0.7109	0.5811
15	0	0.0581	0.1677	0.6035	0.7041	0.9111
16	0	0.0486	0.1677	0.5977	0.8096	0.8691
17	0	-0.0558	0.1638	0.7119	0.9355	0.8691
18	0	0.0771	0.1750	0.7695	0.8564	0.9102
19	0	0.0771	0.1826	0.7695	1.0762	0.9521
20	0	0.0107	0.2390	0.8320	1.1211	0.7871
21	0	0.0771	0.1863	0.8896	1.0684	1.3633
22	0	0.0201	0.1978	0.9150	1.1016	1.3223
23	0	0.1056	0.2278	0.9932	1.0742	1.2402
24	0	0.0771	0.2390	0.9775	1.1289	1.1582
25	0	0.0865	0.2166	1.0352	1.0879	1.1992
26	0	0.0676	0.2390	1.1133	1.3262	1.4043
27	0	0.0486	0.2466	1.0918	1.1738	1.0332
28	0	0.0201	0.1902	1.0859	1.2012	0.5400
29	0	0.0581	0.2314	1.0547	1.3203	1.1992
30	0	0.0107	0.2163	1.0410	1.2148	1.1992
31	0	0.0391	0.2239	1.0859	1.2207	1.3633
32	0	0.0486	0.2651	0.9307	1.2812	1.5684
33	0	0.0391	0.2126	0.9570	1.1348	1.0742
34	0	0.0391	0.2278	0.8320	1.1152	1.4043
35	0	0.0201	0.2239	0.7646	1.0293	1.0742
36	0	0.0391	0.2390	0.7646	1.0156	1.1562
37	0	0.1245	0.2466	0.7695	1.0215	0.7461
38	0	-0.0273	0.1826	0.7334	0.9424	0.8691
39	0	0.0865	0.2351	0.6348	0.8691	1.1562
40	0	-0.0368	0.2126	0.5664	0.8633	0.7461
41	0	0.0865	0.1675	0.5615	0.7637	1.1562
42	0	-0.0273	0.1714	0.4683	0.7363	0.9922
43	0	-0.0178	0.2051	0.5146	0.7041	1.1152
44	0	0.0486	0.2202	0.4731	0.6572	0.7461
45	0	0.1150	0.1975	0.4160	0.6045	0.4575
46	0	0.0107	0.1599	0.3848	0.6709	0.4165
47	0	0.0770	0.1338	0.3643	0.5518	0.7871
48	0	-0.0747	0.1562	0.3745	0.5449	0.7041
49	0	0.0580	0.1526	0.3433	0.5312	0.5811
50	0	0.0107	0.1375	0.3066	0.5645	0.6221
51	0	-0.0368	0.1526	0.3535	0.4453	0.9512
52	0	0.1150	0.1411	0.2964	0.5840	0.6631
53	0	-0.0178	0.1112	0.2759	0.4717	0.4575
54	0	0.0770	0.1112	0.3066	0.4849	0.3755
55	0	0.0107	0.1112	0.3174	0.3789	0.0463
56	0	0.0296	0.0848	0.2288	0.3853	0.4985
57	0	0.0486	0.1338	0.2651	0.4121	0.6221
58	0	0.0296	0.0961	0.2603	0.3721	0.2930
59	0	0.1055	0.0999	0.2861	0.4585	0.8281
60	0	0.0107	0.1224	0.2964	0.4912	0.3340
61	0	-0.0273	0.1375	0.2910	0.6709	0.6221
62	0	0.0107	0.0472	0.3174	0.9160	0.7451
63	0	0.0012	0.0886	0.3276	1.1348	0.6221
64	0	0.1055	0.0923	0.2759	1.2949	0.7041
65	0	0.0486	0.0736	0.2705	1.0820	0.3340
66	0	-0.0178	0.0547	0.2341	0.7041	0.5811
67	0	0.0770	0.1036	0.2131	0.5312	0.4165
68	0	0.0770	0.0886	0.1196	0.3589	0.4165
69	0	0.0201	0.0585	0.1821	0.3457	0.3340
70	0	0.0675	0.0773	0.1560	0.1997	-0.0359
71	0	0.0675	0.0623	0.1041	0.2856	0.2930
72	0	0.0296	0.0698	0.1560	0.1731	0.4165
73	0	0.0012	0.0585	0.1249	0.2063	0.0052
74	0	0.0391	0.0811	0.1144	0.1997	0.0052
75	0	0.0675	0.0397	0.1404	0.1200	0.2930
76	0	-0.0557	0.0247	0.1041	0.2327	0.7861
77	0	0.0580	0.0322	0.0729	0.1531	0.3755
78	0	0.0486	0.0397	0.0833	0.0736	0.1697
79	0	-0.0463	0.0547	0.1144	0.1001	0.0052
80	0	0.0486	0.0472	0.0936	0.1134	0.1697
81	0	-0.0463	0.0359	0.0989	0.1399	-0.0770
82	0	0.0391	0.0435	0.0469	0.1001	0.1697
83	0	-0.0273	0.0585	0.1093	0.1531	0.0464
84	0	0.0486	0.0247	0.0676	0.1599	0.1697
85	0	0.0201	0.0397	0.0469	0.0338	0.1697
86	0	-0.0083	0.0097	0.0261	0.0604	0.0464
87	0	-0.0178	0.0472	0.0469	0.1399	0.3340
88	0	-0.0083	0.0134	0.0469	0.2461	0.3345
89	0	0.0201	0.0097	0.0676	0.1068	0.1697
90	0	0.0391	0.0322	0.0833	0.1068	0.0053
91	0	0.0580	0.0172	0.1145	0.0471	0.2109
92	0	0.0107	0.0285	0.0729	0.1399	0.2520
93	0	-0.0178	0.0660	0.0261	0.0802	0.1697
94	0	-0.0367	0.0134	0.0469	0.0603	0.0053
95	0	0.0296	0.0097	0.0833	0.0802	-0.3237
96	0	0.0580	0.0059	0.0469	0.0868	0.2520
97	0	0.0959	0.0097	0.0676	0.0404	0.0053
98	0	0.0296	0.0472	0.0313	0.0736	-0.1592
99	0	0.0486	0.0623	0.0261	0.1134	-0.0358
100	0	0.0107	0.0059	0.0209	0.0603	0.0875
101	0	0.0201	0.0209	0.0417	0.0536	0.2930
102	0	0.0391	0.0397	0.0573	0.1267	0.2109
103	0	0.0391	0.0209	0.0417	0.0338	-0.0769
104	0	-0.0273	0.0022	0.0365	0.0802	-0.0358
105	0	-0.0178	-0.0241	-0.0051	0.0868	-0.1592
106	0	-0.0083	0.0022	0.0417	0.0536	-0.0358
107	0	-0.0842	0.0209	0.0364	0.0603	-0.1180
108	0	-0.0557	0.0472	0.0209	0.0006	-0.1180
109	0	-0.0273	0.0435	0.0573	0.0139	-0.0769
110	0	-0.0273	0.0134	0.0364	0.0536	0.1287
111	0	-0.0083	0.0209	0.0676	0.0934	-0.0769
112	0	0.0012	-0.0054	0.0364	0.0338	-0.1180
113	0	0.0107	0.0059	0.0261	0.0669	0.5811
114	0	-0.0273	-0.0204	0.0209	-0.0325	-0.1180
115	0	0.0296	0.0059	0.0780	0.1133	0.0054
116	0	-0.0083	-0.0129	0.0780	0.0271	0.1287
117	0	0.0391	0.0322	0.0676	0.0602	-0.0769
118	0	0.0107	-0.0016	0.0729	0.0471	-0.0769
119	0	-0.0083	0.0097	0.0521	0.0271	-0.3237
120	0	0.0391	0.0284	0.0885	-0.0060	0.0876
121	0	0.0391	0.0021	0.0884	0.0139	0.2520
122	0	-0.0557	-0.0204	0.0833	0.1134	0.0465
123	0	-0.0178	-0.0016	0.0209	0.1001	0.0054
124	0	0.0107	0.0284	0.0729	0.0338	-0.2415
125	0	0.0296	0.0284	0.0573	0.0536	0.0876
126	0	-0.0273	0.0134	0.0157	-0.0392	-0.0769
127	0	0.0676	0.0172	0.0261	0.0138	-0.2415
128	0	0.0201	0.0172	0.0105	0.0802	0.1287
129	0	-0.0083	0.0322	0.0261	0.1001	0.0876
130	0	-0.0273	0.0021	0.0261	0.0205	-0.2002
131	0	0.0486	0.0021	0.0416	0.0735	0.1287
132	0	0.0107	-0.0129	-0.0051	0.1067	0.1287
133	0	-0.0367	-0.0091	0.0053	0.0802	0.2109
134	0	0.0771	-0.0016	0.0105	0.0271	-0.0358
135	0	0.0202	0.0209	-0.0259	-0.0061	0.1699
136	0	0.0486	0.0059	0.0208	-0.0326	0.2520
137	0	-0.0083	-0.0016	0.0468	0.0072	-0.2827
138	0	0.0107	-0.0016	0.0105	0.1067	0.1699
139	0	0.0201	0.0134	0.0624	0.0138	-0.1592
140	0	-0.0178	-0.0054	-0.0155	-0.0459	0.1699
141	0	-0.0748	-0.0092	0.0001	-0.0459	-0.1592
142	0	-0.0178	-0.0016	0.0364	-0.0525	0.0465
143	0	0.0012	-0.0280	-0.0155	0.0536	-0.1180
144	0	-0.1033	-0.0016	-0.0051	0.0271	-0.0769
145	0	0.0012	0.0059	0.0416	-0.0061	0.0054
146	0	-0.0463	0.0284	0.0468	0.0934	0.2112
147	0	0.0012	-0.0016	0.0364	0.1399	-0.2827
148	0	0.0202	0.0059	0.0312	0.0934	0.2935
149	0	0.0297	0.0134	0.0624	0.1199	0.0054
150	0	-0.0083	0.0284	0.0468	0.0735	-0.3647
151	0	0.0012	0.0059	0.0157	0.0868	0.0876
152	0	0.0202	0.0059	0.1196	0.1199	-0.1592
153	0	0.0676	0.0397	0.0156	0.0602	-0.2004
154	0	0.0202	-0.0054	-0.0207	0.0868	0.0465
155	0	0.0962	0.0209	0.0416	0.0868	-0.2004
156	0	0.1436	0.0059	0.0468	0.0271	-0.0358
157	0	0.0962	0.0096	0.0260	0.0005	-0.0358
158	0	0.0107	-0.0204	0.0260	0.0868	-0.0358
159	0	0.0486	-0.0167	-0.0155	-0.0260	0.0876
160	0	-0.0558	-0.0167	0.0208	-0.0791	-0.3647
161	0	0.0012	0.0171	-0.0052	0.0005	0.2112
162	0	-0.0273	0.0247	0.0312	0.0138	0.0054
163	0	-0.0179	0.0021	0.0156	-0.0260	0.0465
164	0	-0.0179	0.0284	-0.0104	0.0337	0.0465
165	0	-0.0083	0.0134	-0.0311	0.0403	0.0054
166	0	0.0582	0.0058	0.0416	0.0403	0.3755
167	0	-0.0083	0.0058	-0.0052	-0.0260	-0.1180
168	0	-0.0083	0.0058	0.0052	0.0535	-0.0769
169	0	0.0012	-0.0167	0.0052	0.0469	-0.1180
170	0	0.0297	0.0096	0.0364	-0.0260	-0.0769
171	0	-0.0179	0.0171	-0.0104	0.0668	-0.1182
172	0	0.0012	0.0209	0.0000	0.0403	0.1699
173	0	0.0867	-0.0054	-0.0364	0.0071	-0.1182
174	0	0.0202	0.0021	-0.0416	-0.0526	-0.2417
175	0	-0.0274	0.0021	0.0416	0.0270	0.0053
176	0	-0.0939	0.0058	0.0156	0.0469	0.1287
177	0	-0.0559	0.0171	-0.0208	0.0336	-0.0358
178	0	0.0012	0.0209	0.0416	0.0336	-0.0769
179	0	-0.0464	0.0021	0.0260	0.0204	-0.1592
180	0	0.0202	0.0096	0.0052	0.0469	0.2109
181	0	-0.0084	0.0021	-0.0052	0.1000	0.0053
182	0	-0.0464	-0.0092	0.0260	0.0734	-0.0358
183	0	-0.0274	-0.0017	0.0519	0.0668	0.1287
184	0	0.0773	-0.0055	0.0728	0.0602	-0.3237
185	0	0.0392	-0.0055	0.0104	0.0933	-0.1182
186	0	-0.0845	-0.0393	0.0156	-0.0260	0.2109
187	0	0.0107	0.0096	0.0104	0.0867	-0.0358
188	0	0.0582	-0.0092	0.0364	-0.0327	0.4580
189	0	0.0392	-0.0167	0.0000	-0.0658	-0.4473
190	0	0.0297	0.0058	0.0104	0.0204	-0.3652
191	0	0.0011	-0.0017	-0.0156	0.0336	0.0053
192	0	-0.0179	0.0133	0.0104	-0.0393	-0.0770
193	0	0.0582	0.0133	-0.0260	0.0270	-0.0770
194	0	0.0011	-0.0055	-0.0208	-0.0658	-0.2417
195	0	0.0392	0.0096	0.0156	0.1265	0.3345
196	0	0.0107	-0.0355	-0.0052	-0.0128	-0.0359
197	0	-0.0179	-0.0055	-0.0104	-0.0923	0.0875
198	0	0.0107	0.0321	0.0156	-0.0261	0.1699
199	0	-0.0369	0.0020	0.0104	0.0137	0.0464
200	0	-0.0179	0.0096	-0.0000	-0.0128	-0.3237
201	0	0.0962	0.0133	0.0519	0.0469	-0.2004
202	0	-0.0179	-0.0092	-0.0156	0.0402	-0.2827
203	0	0.0202	0.0284	-0.0052	0.0402	0.0464
204	0	0.0011	-0.0355	0.0624	0.0336	0.0052
205	0	0.0011	0.0096	-0.0000	-0.0128	-0.3652
206	0	0.0582	-0.0017	-0.0728	0.0005	0.0875
207	0	0.0297	0.0321	-0.0312	-0.0327	0.0464
208	0	0.0202	-0.0055	0.0156	-0.0062	0.1287
209	0	0.0011	-0.0017	-0.0156	-0.0128	0.0875
210	0	-0.0369	0.0133	0.0104	-0.0327	0.0464
211	0	0.0677	-0.0092	0.0052	-0.0261	-0.1594
212	0	0.0202	0.0208	-0.0052	-0.0725	0.2520
213	0	0.0392	-0.0130	0.0208	0.0601	-0.0770
214	0	0.0297	-0.0168	-0.0156	0.0734	-0.1594
215	0	-0.0084	-0.0055	0.0052	-0.0194	-0.1183
216	0	0.0487	0.0058	0.0208	0.0734	-0.1183
217	0	-0.0369	-0.0092	-0.0000	-0.0261	0.1287
218	0	0.0202	-0.0130	0.0104	0.0668	0.1699
219	0	-0.0845	-0.0017	0.0052	0.0071	-0.3242
220	0	-0.0560	-0.0055	0.0364	0.0004	0.1699
221	0	0.0202	0.0058	0.0052	-0.0128	-0.1594
222	0	0.1057	0.0284	0.0312	0.0336	-0.2827
223	0	0.0392	0.0133	-0.0208	0.0269	0.0463
224	0	-0.0274	0.0020	0.0259	0.0004	-0.1183
225	0	0.0582	-0.0092	0.0104	0.0668	-0.2417
226	0	0.0963	0.0133	-0.0260	-0.0327	0.1287
227	0	0.0297	-0.0017	-0.0104	0.0867	-0.0359
228	0	-0.0084	0.0020	-0.0000	0.0137	0.3345
229	0	-0.0559	0.0133	0.0415	0.0071	-0.0771
230	0	-0.0274	0.0171	0.0155	0.0203	-0.1594
231	0	0.0201	-0.0130	-0.0052	0.0137	-0.0771
232	0	-0.0369	-0.0205	-0.0156	-0.0194	0.3755
233	0	-0.0464	-0.0130	-0.0052	-0.0659	0.4990
234	0	-0.0369	-0.0205	-0.0000	0.0203	-0.0771
235	0	-0.0179	-0.0017	-0.0416	-0.0128	-0.1183
236	0	0.0201	0.0133	-0.0208	0.0004	-0.2007
237	0	-0.1035	-0.0055	0.0415	0.0668	0.2109
238	0	0.0201	-0.0130	0.0052	0.0071	-0.4062
239	0	-0.0750	0.0020	0.0208	0.0137	0.0052
240	0	0.0487	0.0283	-0.0000	0.0137	0.0052
